path,variant,bytes,sha256,source
awe-sport-education-horizontal-color.svg,horizontal-color,8906,2258b9dcbf997d58d1a87972d4867aa8dfc9d16947aee5051d66ce1893fc0e5d,../guidelines/awe-edu-brand-guidelines.pdf#pdf-object-41
awe-sport-education-horizontal-white.svg,horizontal-white,8906,3d6744e0068462e38ea579153a9d51bbc31bc8dd13ea2b90bd7950ce309f0c74,../guidelines/awe-edu-brand-guidelines.pdf#pdf-object-41
awe-sport-education-mark-color.svg,mark-color,3306,1c728de983ab8ea69688f6bc8d152dc06d4232c42b13eea65613882cfbd96e2f,../guidelines/awe-edu-brand-guidelines.pdf#pdf-object-41
awe-sport-education-mark-white.svg,mark-white,3306,95d8a1e46251b3fa674c1cf266f93aafc94e879b3f67a2846154eccb219ac3a7,../guidelines/awe-edu-brand-guidelines.pdf#pdf-object-41
